248,1,248,"Dr. José Mendoza Condori","Cardiología","Médico Especialista","II Nivel","COLMED-CH-8334",36
249,1,249,"Dra. Javier Aguilar Vaca","Oftalmología","Médico General","III Nivel","COLMED-LP-2314",39
250,1,250,"Dra. Javier Mercado Nina","Urología","Médico Residente","III Nivel","COLMED-PA-3676",7
251,1,251,"Dra. Luis Pinto Ticona","Pediatría","Médico Residente","II Nivel","COLMED-CB-4530",9
252,1,252,"Lic. Luis Vargas Rocha","Cirugía General","Enfermera","III Nivel","COLMED-OR-1112",22
253,1,253,"Lic. Silvia Vargas Vaca","Oftalmología","Enfermera","III Nivel","COLMED-OR-3316",33
254,1,254,"Dra. Laura Nina Pérez","Urología","Médico Residente","II Nivel","COLMED-CB-3171",39
255,1,255,"Dr. Fernando Flores Condori","Neurología","Cirujano","II Nivel","COLMED-PA-3379",29
256,1,256,"Dr. Jorge Pinto Mercado","Anestesiología","Médico General","III Nivel","COLMED-SC-1862",9
257,1,257,"Lic. Fernando Arce Flores","Endocrinología","Enfermera Jefe","III Nivel","COLMED-BE-7829",33
258,1,258,"Dr. Fernando Condori Mercado","Dermatología","Médico Residente","I Nivel","COLMED-SC-6945",15
259,1,259,"Dr. Hugo Condori Vargas","Ginecología y Obstetricia","Médico Especialista","I Nivel","COLMED-PA-9645",1
260,1,260,"Lic. Silvia Flores Pinto","Urología","Enfermera Jefe","II Nivel","COLMED-PO-5789",15
261,1,261,"Dra. Laura Arce Flores","Medicina Interna","Médico Residente","II Nivel","COLMED-OR-2432",21
262,1,262,"Dr. Juan Mendoza Condori","Cardiología","Médico Especialista","III Nivel","COLMED-BE-2905",3
263,1,263,"Dr. María Vaca Condori","Endocrinología","Médico Especialista","III Nivel","COLMED-TJ-9086",34
264,1,264,"Dr. Ana Rojas Mamani","Traumatología","Médico Especialista","III Nivel","COLMED-CB-6262",29
265,1,265,"Lic. Silvia Condori Vaca","Traumatología","Enfermera Jefe","I Nivel","COLMED-PO-9635",33
266,1,266,"Dra. Juan Flores Rojas","Traumatología","Cirujano","II Nivel","COLMED-CB-9965",26
267,1,267,"Dra. Patricia Vaca Aguilar","Neurología","Cirujano","III Nivel","COLMED-PO-8716",20
268,1,268,"Dra. Ana Ticona Salvatierra","Endocrinología","Médico Especialista","III Nivel","COLMED-CB-9816",38
269,1,269,"Lic. Marcos Pinto Vaca","Endocrinología","Técnico Sanitario","I Nivel","COLMED-SC-8928",18
270,1,270,"Lic. Jorge Vaca Rojas","Traumatología","Enfermera Jefe","II Nivel","COLMED-PO-6854",23
271,1,271,"Dra. Laura Mercado Arce","Neurología","Médico Residente","III Nivel","COLMED-LP-9891",37
272,1,272,"Dra. Luis Rocha Vargas","Ginecología y Obstetricia","Médico Residente","I Nivel","COLMED-TJ-5994",23
273,1,273,"Dra. Pedro Gutiérrez Quispe","Endocrinología","Cirujano","III Nivel","COLMED-SC-3672",17
274,1,274,"Lic. José Ticona Ticona","Endocrinología","Técnico Sanitario","II Nivel","COLMED-CB-6204",33
275,1,275,"Dra. Laura Choque Aguilar","Medicina Interna","Cirujano","III Nivel","COLMED-OR-9934",40
276,1,276,"Lic. Marcos Aguilar Vargas","Pediatría","Técnico Sanitario","II Nivel","COLMED-CB-3678",29
277,1,277,"Dra. Marcos Quispe Vargas","Medicina Interna","Médico General","I Nivel","COLMED-SC-9780",2
278,1,278,"Dra. Patricia Pérez Aguilar","Oftalmología","Médico Residente","I Nivel","COLMED-CB-5611",21
279,1,279,"Lic. Martha Rocha Vaca","Medicina Interna","Enfermera","II Nivel","COLMED-PO-4011",16
280,1,280,"Dra. Raúl Arce Mercado","Medicina General","Médico General","II Nivel","COLMED-CB-5036",31
281,1,281,"Lic. Raúl Mercado Vaca","Ginecología y Obstetricia","Técnico Sanitario","I Nivel","COLMED-PO-5047",7
282,1,282,"Dr. Juan Rojas Rojas","Cirugía General","Médico Residente","III Nivel","COLMED-TJ-7117",32
283,1,283,"Dr. Rosa Choque Choque","Anestesiología","Médico General","III Nivel","COLMED-TJ-1902",16
284,1,284,"Lic. Marcos Zárate Vaca","Traumatología","Técnico Sanitario","III Nivel","COLMED-BE-1558",7
285,1,285,"Lic. Luis Gutiérrez Mamani","Cirugía General","Técnico Sanitario","I Nivel","COLMED-OR-8153",4
286,1,286,"Dra. Hugo Mamani Flores","Endocrinología","Médico Residente","II Nivel","COLMED-PO-6332",14
287,1,287,"Dr. Raúl Salvatierra Salvatierra","Dermatología","Médico General","I Nivel","COLMED-LP-2859",36
288,1,288,"Dra. Carlos Condori Mercado","Oftalmología","Médico Especialista","II Nivel","COLMED-OR-3625",37
289,1,289,"Dra. Marcos Vargas Quispe","Medicina Interna","Médico Especialista","I Nivel","COLMED-PA-2071",15
290,1,290,"Dra. Ana Condori Aguilar","Anestesiología","Cirujano","III Nivel","COLMED-CB-6233",1
291,1,291,"Dra. Carmen Pérez Mercado","Cirugía General","Médico General","II Nivel","COLMED-TJ-7843",4
292,1,292,"Lic. Fernando Nina Choque","Neurología","Técnico Sanitario","II Nivel","COLMED-PO-6597",31
293,1,293,"Dr. María Condori Rocha","Dermatología","Cirujano","II Nivel","COLMED-CH-2467",29
294,1,294,"Dr. Fernando Rojas Arce","Cirugía General","Cirujano","II Nivel","COLMED-TJ-3904",40
295,1,295,"Dr. Martha Mercado Condori","Cardiología","Médico Especialista","II Nivel","COLMED-PO-5193",35
296,1,296,"Dr. Rosa Arce Pérez","Cirugía General","Cirujano","II Nivel","COLMED-LP-2343",10
297,1,297,"Dr. Ana Mercado Salvatierra","Medicina Interna","Médico General","I Nivel","COLMED-OR-6634",20
298,1,298,"Dra. Hugo Quispe Vargas","Dermatología","Médico Residente","II Nivel","COLMED-SC-3306",25
299,1,299,"Lic. Hugo Pérez Condori","Medicina General","Enfermera Jefe","III Nivel","COLMED-CH-7832",8
300,1,300,"Dr. Pedro Zárate Mendoza","Neurología","Médico Especialista","I Nivel","COLMED-OR-6807",8
301,1,301,"Dr. Javier Aguilar Rocha","Oftalmología","Médico General","III Nivel","COLMED-SC-7501",2
302,1,302,"Dr. Patricia Choque Arce","Neurología","Cirujano","I Nivel","COLMED-CB-4972",32
303,1,303,"Lic. Martha Ticona Aguilar","Oftalmología","Enfermera","III Nivel","COLMED-CB-2402",29
304,1,304,"Lic. José Pérez Quispe","Medicina General","Enfermera Jefe","I Nivel","COLMED-CB-3097",5
305,1,305,"Dra. Martha Arce Pérez","Dermatología","Médico Residente","I Nivel","COLMED-TJ-7093",37
306,1,306,"Dr. Laura Aguilar Aguilar","Urología","Cirujano","II Nivel","COLMED-LP-3779",28
307,1,307,"Lic. Ana Flores Vaca","Medicina Interna","Técnico Sanitario","III Nivel","COLMED-PO-7985",2
308,1,308,"Dra. Hugo Flores Quispe","Traumatología","Cirujano","I Nivel","COLMED-PA-1457",21
309,1,309,"Dr. Javier Aguilar Aguilar","Anestesiología","Cirujano","I Nivel","COLMED-PO-3780",12
310,1,310,"Dr. Carlos Ticona Vargas","Pediatría","Cirujano","II Nivel","COLMED-LP-7011",32
311,1,311,"Lic. María Pérez Arce","Anestesiología","Enfermera Jefe","III Nivel","COLMED-OR-8512",24
312,1,312,"Dra. Ana Choque Flores","Cirugía General","Médico Residente","I Nivel","COLMED-LP-1425",11
313,1,313,"Dr. Silvia Rocha Choque","Urología","Médico General","I Nivel","COLMED-PA-4250",8
314,1,314,"Dr. Carlos Zárate Ticona","Medicina Interna","Médico General","III Nivel","COLMED-CH-3832",29
315,1,315,"Lic. Daniela Condori Mendoza","Dermatología","Técnico Sanitario","III Nivel","COLMED-TJ-6805",33
316,1,316,"Dra. Fernando Gutiérrez Mendoza","Pediatría","Cirujano","III Nivel","COLMED-LP-9816",27
317,1,317,"Dr. Carlos Vaca Zárate","Traumatología","Médico Especialista","II Nivel","COLMED-OR-4269",32
318,1,318,"Dra. Raúl Aguilar Pérez","Cirugía General","Médico Especialista","III Nivel","COLMED-CB-9866",34
319,1,319,"Lic. Carmen Vaca Condori","Anestesiología","Enfermera Jefe","III Nivel","COLMED-CB-7000",35
320,1,320,"Lic. José Arce Rojas","Pediatría","Enfermera","I Nivel","COLMED-CB-3122",21
321,1,321,"Dr. José Mamani Mendoza","Urología","Médico Especialista","III Nivel","COLMED-SC-9922",24
322,1,322,"Lic. Martha Nina Zárate","Cirugía General","Enfermera Jefe","III Nivel","COLMED-PO-8538",17
323,1,323,"Lic. Javier Pérez Vaca","Ginecología y Obstetricia","Enfermera","III Nivel","COLMED-CH-1743",29
324,1,324,"Lic. Carlos Salvatierra Vargas","Anestesiología","Técnico Sanitario","III Nivel","COLMED-OR-9430",21
325,1,325,"Lic. Martha Mamani Vargas","Endocrinología","Técnico Sanitario","II Nivel","COLMED-TJ-9207",40
326,1,326,"Dra. Fernando Vaca Vaca","Ginecología y Obstetricia","Médico Residente","I Nivel","COLMED-BE-6822",3
327,1,327,"Dr. Silvia Zárate Mendoza","Cardiología","Médico Residente","III Nivel","COLMED-SC-7463",32
328,1,328,"Dr. Fernando Arce Aguilar","Cardiología","Médico Especialista","I Nivel","COLMED-SC-4109",11
329,1,329,"Dra. Carlos Vargas Aguilar","Dermatología","Médico Especialista","I Nivel","COLMED-CH-6278",13
330,1,330,"Dra. Marcos Gutiérrez Flores","Neurología","Médico Residente","I Nivel","COLMED-CB-7649",36
331,1,331,"Dr. Pedro Mamani Pinto","Urología","Cirujano","I Nivel","COLMED-PO-9775",16
332,1,332,"Lic. Jorge Choque Pérez","Urología","Enfermera Jefe","III Nivel","COLMED-BE-5779",24
333,1,333,"Dr. Fernando Rocha Mamani","Oftalmología","Médico General","II Nivel","COLMED-BE-9717",10
334,1,334,"Dra. Silvia Quispe Nina","Traumatología","Médico General","III Nivel","COLMED-LP-5585",4
335,1,335,"Dra. Luis Quispe Nina","Medicina Interna","Médico Residente","I Nivel","COLMED-SC-8445",31
336,1,336,"Lic. Carlos Condori Arce","Cardiología","Enfermera","II Nivel","COLMED-PA-3437",11
337,1,337,"Lic. Jorge Gutiérrez Ticona","Endocrinología","Enfermera","II Nivel","COLMED-PO-5061",17
338,1,338,"Lic. Pedro Rocha Zárate","Cardiología","Enfermera Jefe","II Nivel","COLMED-SC-4303",19
339,1,339,"Lic. Ana Rocha Zárate","Medicina General","Enfermera","III Nivel","COLMED-BE-7545",34
340,1,340,"Lic. María Arce Nina","Traumatología","Técnico Sanitario","II Nivel","COLMED-BE-1356",4
341,1,341,"Dra. Patricia Pérez Mamani","Cardiología","Médico General","I Nivel","COLMED-BE-1595",2
342,1,342,"Lic. Marcos Vaca Aguilar","Oftalmología","Enfermera","III Nivel","COLMED-PA-4497",4
343,1,343,"Dr. Carmen Zárate Arce","Anestesiología","Cirujano","II Nivel","COLMED-OR-3049",6
344,1,344,"Dra. Ana Salvatierra Choque","Ginecología y Obstetricia","Médico Residente","III Nivel","COLMED-OR-5391",17
345,1,345,"Dr. Carmen Choque Choque","Cardiología","Médico General","II Nivel","COLMED-PO-4574",26
346,1,346,"Dra. Carlos Flores Mendoza","Medicina General","Médico Residente","II Nivel","COLMED-LP-8578",21
347,1,347,"Dr. Laura Rojas Quispe","Endocrinología","Médico Especialista","III Nivel","COLMED-CH-1490",37
348,1,348,"Lic. Javier Rocha Condori","Anestesiología","Técnico Sanitario","II Nivel","COLMED-PA-3687",20
349,1,349,"Dr. Raúl Mercado Rocha","Endocrinología","Médico Residente","I Nivel","COLMED-PA-3252",31
350,1,350,"Lic. Ana Arce Ticona","Pediatría","Enfermera","II Nivel","COLMED-BE-7611",23
351,1,351,"Lic. Jorge Nina Rojas","Cardiología","Enfermera","II Nivel","COLMED-PO-5426",24
352,1,352,"Dra. Daniela Mamani Salvatierra","Endocrinología","Cirujano","III Nivel","COLMED-BE-9417",14
353,1,353,"Lic. Luis Pérez Aguilar","Ginecología y Obstetricia","Enfermera","III Nivel","COLMED-TJ-8300",18
354,1,354,"Dra. José Vargas Pinto","Traumatología","Médico Especialista","II Nivel","COLMED-CB-3252",27
355,1,355,"Dr. José Mendoza Pinto","Pediatría","Médico General","II Nivel","COLMED-PA-9082",29
356,1,356,"Dra. Pedro Nina Arce","Endocrinología","Médico Especialista","I Nivel","COLMED-CH-3255",25
357,1,357,"Lic. Javier Nina Gutiérrez","Cardiología","Enfermera","I Nivel","COLMED-CB-3017",16
358,1,358,"Lic. Silvia Pinto Aguilar","Medicina General","Enfermera Jefe","III Nivel","COLMED-PO-9742",30
359,1,359,"Dra. Raúl Rocha Vargas","Traumatología","Médico Residente","II Nivel","COLMED-PA-6047",22
360,1,360,"Dra. Raúl Pinto Gutiérrez","Cirugía General","Médico Especialista","I Nivel","COLMED-PO-8314",33
361,1,361,"Lic. Martha Choque Gutiérrez","Pediatría","Enfermera","III Nivel","COLMED-BE-5368",28
362,1,362,"Dr. Juan Aguilar Rojas","Traumatología","Médico Especialista","III Nivel","COLMED-SC-4132",24
363,1,363,"Lic. Pedro Rojas Zárate","Ginecología y Obstetricia","Técnico Sanitario","III Nivel","COLMED-PA-6540",2
364,1,364,"Dra. Marcos Rojas Mamani","Cirugía General","Médico Especialista","II Nivel","COLMED-CB-8873",8
365,1,365,"Lic. Patricia Vaca Mercado","Neurología","Enfermera Jefe","III Nivel","COLMED-TJ-3052",33
366,1,366,"Lic. Carlos Pérez Mamani","Cirugía General","Técnico Sanitario","I Nivel","COLMED-TJ-7200",6
367,1,367,"Dr. Daniela Mendoza Vaca","Neurología","Médico Residente","I Nivel","COLMED-SC-6645",17
368,1,368,"Dra. Luis Salvatierra Pinto","Traumatología","Médico Especialista","I Nivel","COLMED-PA-2805",5
369,1,369,"Lic. Carlos Mamani Mercado","Traumatología","Enfermera Jefe","II Nivel","COLMED-CH-2474",32
370,1,370,"Dr. Carmen Zárate Aguilar","Cardiología","Médico Especialista","III Nivel","COLMED-OR-5007",23
371,1,371,"Dra. Luis Mercado Pérez","Anestesiología","Médico Residente","III Nivel","COLMED-PO-9232",30
372,1,372,"Lic. Javier Pérez Mercado","Endocrinología","Enfermera Jefe","III Nivel","COLMED-SC-3261",19
373,1,373,"Lic. Silvia Ticona Aguilar","Traumatología","Enfermera","I Nivel","COLMED-BE-1821",10
374,1,374,"Dra. Luis Gutiérrez Salvatierra","Dermatología","Médico Especialista","I Nivel","COLMED-LP-7199",23
375,1,375,"Dra. Carlos Condori Choque","Oftalmología","Cirujano","II Nivel","COLMED-OR-6518",40
376,1,376,"Dr. Silvia Pérez Ticona","Medicina General","Cirujano","II Nivel","COLMED-LP-8942",8
377,1,377,"Dra. Patricia Pinto Gutiérrez","Neurología","Médico Residente","III Nivel","COLMED-TJ-6030",9
378,1,378,"Lic. Laura Rojas Pérez","Anestesiología","Enfermera","II Nivel","COLMED-TJ-5576",35
379,1,379,"Dr. Silvia Flores Pérez","Pediatría","Cirujano","I Nivel","COLMED-TJ-6794",17
380,1,380,"Dra. Javier Mamani Arce","Neurología","Médico General","I Nivel","COLMED-SC-9786",25
381,1,381,"Lic. José Salvatierra Mercado","Oftalmología","Enfermera Jefe","III Nivel","COLMED-PA-6131",36
382,1,382,"Dr. Patricia Flores Gutiérrez","Traumatología","Médico Especialista","II Nivel","COLMED-CH-8765",15
383,1,383,"Dra. Rosa Nina Arce","Oftalmología","Médico General","III Nivel","COLMED-BE-4540",5
384,1,384,"Lic. Juan Vargas Vargas","Ginecología y Obstetricia","Enfermera","III Nivel","COLMED-BE-9165",11
385,1,385,"Lic. Daniela Mendoza Pérez","Urología","Enfermera","II Nivel","COLMED-PO-4397",29
386,1,386,"Dr. Ana Vargas Flores","Oftalmología","Médico General","II Nivel","COLMED-SC-4783",25
387,1,387,"Lic. Hugo Rojas Mamani","Pediatría","Enfermera Jefe","II Nivel","COLMED-PA-2988",30
388,1,388,"Dra. Martha Aguilar Flores","Cirugía General","Médico General","I Nivel","COLMED-SC-5936",32
389,1,389,"Dra. Martha Mamani Zárate","Urología","Médico Especialista","II Nivel","COLMED-OR-4192",8
390,1,390,"Dr. Javier Zárate Choque","Ginecología y Obstetricia","Médico Residente","III Nivel","COLMED-SC-5777",17
391,1,391,"Lic. Marcos Rocha Vaca","Oftalmología","Técnico Sanitario","III Nivel","COLMED-TJ-9027",3
392,1,392,"Dra. José Arce Mendoza","Oftalmología","Cirujano","III Nivel","COLMED-CH-6316",32
393,1,393,"Dra. Ana Nina Arce","Oftalmología","Médico Residente","II Nivel","COLMED-BE-4538",39
394,1,394,"Dra. Luis Rojas Zárate","Ginecología y Obstetricia","Médico Especialista","I Nivel","COLMED-PA-8018",23
395,1,395,"Lic. Raúl Ticona Zárate","Medicina General","Enfermera Jefe","II Nivel","COLMED-CB-2509",37
396,1,396,"Dra. Juan Choque Pinto","Urología","Médico Residente","I Nivel","COLMED-LP-5066",24
397,1,397,"Dra. Carlos Pinto Rojas","Traumatología","Médico Especialista","III Nivel","COLMED-LP-6108",5
398,1,398,"Dr. María Salvatierra Quispe","Endocrinología","Cirujano","II Nivel","COLMED-SC-8340",17
399,1,399,"Dr. Jorge Nina Rojas","Anestesiología","Médico Especialista","III Nivel","COLMED-CB-8204",21
400,1,400,"Lic. Javier Aguilar Choque","Medicina Interna","Técnico Sanitario","II Nivel","COLMED-LP-8882",3
401,1,401,"Dra. Pedro Gutiérrez Rocha","Endocrinología","Médico Especialista","I Nivel","COLMED-BE-3559",13
402,1,402,"Lic. Jorge Quispe Vargas","Neurología","Enfermera Jefe","I Nivel","COLMED-SC-2637",23
403,1,403,"Lic. Daniela Pinto Pinto","Endocrinología","Técnico Sanitario","III Nivel","COLMED-PO-1470",11
404,1,404,"Dr. Rosa Gutiérrez Choque","Anestesiología","Médico Especialista","I Nivel","COLMED-BE-6570",32
405,1,405,"Dr. Jorge Mamani Pérez","Neurología","Cirujano","II Nivel","COLMED-TJ-6549",26
406,1,406,"Dr. Patricia Gutiérrez Zárate","Endocrinología","Médico General","I Nivel","COLMED-CH-5875",23
407,1,407,"Lic. Raúl Vaca Mercado","Oftalmología","Enfermera","III Nivel","COLMED-BE-4606",23
408,1,408,"Lic. Martha Zárate Zárate","Urología","Enfermera","I Nivel","COLMED-BE-4499",27
409,1,409,"Dra. Pedro Aguilar Zárate","Ginecología y Obstetricia","Médico Residente","III Nivel","COLMED-PA-5923",30
410,1,410,"Lic. Laura Vargas Rojas","Anestesiología","Enfermera Jefe","III Nivel","COLMED-BE-3092",26
411,1,411,"Dr. Martha Gutiérrez Aguilar","Cirugía General","Médico General","II Nivel","COLMED-CB-5266",31
412,1,412,"Lic. Carmen Mendoza Mamani","Cardiología","Enfermera","III Nivel","COLMED-CH-5309",12
413,1,413,"Dra. Patricia Quispe Flores","Oftalmología","Cirujano","II Nivel","COLMED-BE-2939",17
414,1,414,"Lic. Marcos Gutiérrez Mamani","Medicina General","Enfermera Jefe","II Nivel","COLMED-CH-1451",3
415,1,415,"Dra. Martha Zárate Pérez","Oftalmología","Médico General","I Nivel","COLMED-TJ-3931",19
416,1,416,"Lic. Jorge Choque Ticona","Oftalmología","Enfermera","I Nivel","COLMED-OR-2039",38
417,1,417,"Dra. José Salvatierra Rojas","Dermatología","Médico General","III Nivel","COLMED-CH-1414",16
418,1,418,"Lic. Carmen Aguilar Pinto","Pediatría","Enfermera","II Nivel","COLMED-PA-1862",21
419,1,419,"Dra. Ana Vaca Mendoza","Medicina Interna","Médico Residente","I Nivel","COLMED-CH-2076",30
420,1,420,"Lic. María Pinto Mendoza","Dermatología","Enfermera Jefe","I Nivel","COLMED-SC-4082",27
421,1,421,"Dra. Fernando Nina Flores","Urología","Médico Residente","II Nivel","COLMED-PA-1581",16
422,1,422,"Dr. Hugo Condori Vaca","Endocrinología","Médico General","III Nivel","COLMED-PO-8217",39
423,1,423,"Lic. Carmen Vargas Mamani","Neurología","Técnico Sanitario","I Nivel","COLMED-CH-7813",35
424,1,424,"Lic. Rosa Mercado Gutiérrez","Ginecología y Obstetricia","Enfermera Jefe","II Nivel","COLMED-PA-8885",22
425,1,425,"Lic. Hugo Vaca Mercado","Cirugía General","Enfermera Jefe","II Nivel","COLMED-SC-4447",19
426,1,426,"Dra. Patricia Gutiérrez Arce","Anestesiología","Médico General","I Nivel","COLMED-CH-9911",23
427,1,427,"Dra. Daniela Vaca Pérez","Dermatología","Cirujano","III Nivel","COLMED-PA-2536",22
428,1,428,"Dra. Pedro Nina Flores","Medicina General","Médico Especialista","III Nivel","COLMED-CH-4707",26
429,1,429,"Lic. Juan Arce Ticona","Medicina Interna","Enfermera","I Nivel","COLMED-LP-3757",2
430,1,430,"Dr. Carmen Quispe Rocha","Neurología","Médico Especialista","III Nivel","COLMED-BE-3846",40
431,1,431,"Dr. Pedro Nina Flores","Pediatría","Cirujano","II Nivel","COLMED-CB-8234",3
432,1,432,"Lic. María Mercado Choque","Endocrinología","Técnico Sanitario","I Nivel","COLMED-BE-7736",26
433,1,433,"Lic. Carmen Nina Pinto","Dermatología","Técnico Sanitario","II Nivel","COLMED-PA-7390",11
434,1,434,"Lic. Javier Aguilar Ticona","Medicina Interna","Técnico Sanitario","I Nivel","COLMED-CH-7133",31
435,1,435,"Dra. Marcos Mamani Quispe","Medicina Interna","Médico General","II Nivel","COLMED-BE-4603",27
436,1,436,"Dr. Laura Flores Condori","Oftalmología","Cirujano","I Nivel","COLMED-CB-4596",21
437,1,437,"Lic. Raúl Rocha Pérez","Neurología","Enfermera Jefe","III Nivel","COLMED-PO-3120",11
438,1,438,"Dra. Juan Flores Nina","Cardiología","Médico Especialista","II Nivel","COLMED-SC-3942",34
439,1,439,"Lic. Ana Vaca Aguilar","Urología","Enfermera Jefe","I Nivel","COLMED-LP-1685",37
440,1,440,"Lic. Ana Nina Rocha","Urología","Enfermera Jefe","I Nivel","COLMED-SC-6204",5
441,1,441,"Dr. Luis Choque Rocha","Endocrinología","Médico Residente","II Nivel","COLMED-OR-3260",4
442,1,442,"Lic. Carlos Vargas Mendoza","Cirugía General","Enfermera Jefe","I Nivel","COLMED-CH-2947",18
443,1,443,"Lic. Hugo Pérez Pinto","Ginecología y Obstetricia","Técnico Sanitario","III Nivel","COLMED-OR-3406",29
444,1,444,"Lic. Jorge Pinto Zárate","Cardiología","Enfermera","II Nivel","COLMED-SC-6630",4
445,1,445,"Dra. Fernando Rocha Choque","Medicina General","Médico Especialista","II Nivel","COLMED-CB-8836",34
446,1,446,"Lic. Ana Quispe Flores","Endocrinología","Técnico Sanitario","I Nivel","COLMED-PO-2206",34
447,1,447,"Lic. Hugo Gutiérrez Choque","Medicina General","Técnico Sanitario","III Nivel","COLMED-OR-7800",19
448,1,448,"Dra. Luis Salvatierra Mendoza","Pediatría","Médico General","III Nivel","COLMED-TJ-8689",24
449,1,449,"Lic. María Arce Rojas","Ginecología y Obstetricia","Enfermera Jefe","III Nivel","COLMED-SC-7453",27
450,1,450,"Lic. Patricia Quispe Salvatierra","Medicina Interna","Técnico Sanitario","III Nivel","COLMED-BE-5626",10
451,1,451,"Lic. Raúl Vargas Pinto","Cirugía General","Enfermera","III Nivel","COLMED-CH-6009",26
452,1,452,"Lic. Patricia Vaca Choque","Dermatología","Técnico Sanitario","I Nivel","COLMED-PO-6991",6
453,1,453,"Dr. Juan Zárate Pinto","Medicina General","Médico General","II Nivel","COLMED-LP-4660",20
454,1,454,"Dra. Jorge Aguilar Vargas","Cirugía General","Médico Residente","I Nivel","COLMED-CB-9393",11
455,1,455,"Lic. Martha Vargas Choque","Medicina Interna","Enfermera","I Nivel","COLMED-SC-2706",15
456,1,456,"Lic. Daniela Vaca Rocha","Oftalmología","Enfermera","I Nivel","COLMED-TJ-1420",3
457,1,457,"Dra. Fernando Mercado Ticona","Cirugía General","Médico Especialista","II Nivel","COLMED-OR-4098",17
458,1,458,"Dra. Daniela Zárate Condori","Pediatría","Médico Residente","I Nivel","COLMED-PO-4583",27
459,1,459,"Dr. Luis Rocha Zárate","Neurología","Médico Especialista","II Nivel","COLMED-LP-7980",33
460,1,460,"Lic. Luis Quispe Mamani","Traumatología","Técnico Sanitario","I Nivel","COLMED-LP-6862",25
461,1,461,"Lic. Marcos Zárate Ticona","Medicina Interna","Enfermera","I Nivel","COLMED-CB-1649",11
462,1,462,"Dr. Marcos Mendoza Quispe","Traumatología","Cirujano","I Nivel","COLMED-TJ-6059",2
463,1,463,"Dr. Rosa Vargas Rocha","Neurología","Médico General","I Nivel","COLMED-OR-2721",28
464,1,464,"Lic. Javier Salvatierra Quispe","Medicina General","Enfermera Jefe","III Nivel","COLMED-SC-6307",7
465,1,465,"Dr. Luis Flores Vargas","Cirugía General","Cirujano","II Nivel","COLMED-TJ-7998",29
466,1,466,"Lic. Carlos Condori Vargas","Cirugía General","Enfermera Jefe","III Nivel","COLMED-SC-3788",8
467,1,467,"Dra. Hugo Rojas Pérez","Endocrinología","Cirujano","II Nivel","COLMED-CH-4928",37
468,1,468,"Dr. Martha Aguilar Pérez","Neurología","Médico Residente","II Nivel","COLMED-BE-3029",19
469,1,469,"Dr. María Condori Vargas","Oftalmología","Médico Residente","II Nivel","COLMED-PA-6460",4
470,1,470,"Lic. Rosa Ticona Aguilar","Endocrinología","Técnico Sanitario","I Nivel","COLMED-OR-7972",11
471,1,471,"Lic. Patricia Gutiérrez Rojas","Medicina General","Enfermera Jefe","II Nivel","COLMED-BE-8179",38
472,1,472,"Dr. José Ticona Zárate","Medicina Interna","Cirujano","I Nivel","COLMED-OR-9634",15
473,1,473,"Dr. Raúl Zárate Pinto","Medicina General","Cirujano","I Nivel","COLMED-BE-1443",28
474,1,474,"Dra. Laura Choque Nina","Urología","Médico General","III Nivel","COLMED-LP-5798",31
475,1,475,"Dra. Pedro Nina Rojas","Cardiología","Médico Residente","I Nivel","COLMED-SC-2635",6
476,1,476,"Lic. Jorge Arce Gutiérrez","Urología","Enfermera","I Nivel","COLMED-CH-9477",29
477,1,477,"Dr. Raúl Condori Choque","Traumatología","Cirujano","I Nivel","COLMED-BE-5742",11
478,1,478,"Dra. Laura Vargas Rocha","Neurología","Médico Residente","III Nivel","COLMED-TJ-9994",28
479,1,479,"Dr. Daniela Salvatierra Flores","Oftalmología","Médico Residente","I Nivel","COLMED-PO-5378",7
480,1,480,"Dr. Laura Quispe Vargas","Neurología","Médico Residente","I Nivel","COLMED-SC-9104",26
481,1,481,"Lic. Raúl Mendoza Vargas","Cirugía General","Enfermera Jefe","III Nivel","COLMED-LP-9830",38
482,1,482,"Dr. Rosa Salvatierra Salvatierra","Oftalmología","Cirujano","I Nivel","COLMED-OR-4194",3
483,1,483,"Dr. Rosa Quispe Ticona","Pediatría","Médico General","II Nivel","COLMED-SC-2254",3
484,1,484,"Dr. Juan Vargas Flores","Cirugía General","Cirujano","III Nivel","COLMED-BE-5167",38
485,1,485,"Dr. Laura Salvatierra Salvatierra","Medicina General","Médico Especialista","III Nivel","COLMED-OR-5055",11
486,1,486,"Lic. Juan Salvatierra Flores","Medicina General","Enfermera","III Nivel","COLMED-CH-3339",17
487,1,487,"Dr. Silvia Quispe Nina","Anestesiología","Cirujano","II Nivel","COLMED-TJ-5701",28
488,1,488,"Dr. Jorge Rojas Condori","Medicina General","Médico General","II Nivel","COLMED-TJ-5436",12
489,1,489,"Lic. Pedro Mamani Vargas","Ginecología y Obstetricia","Técnico Sanitario","II Nivel","COLMED-SC-4531",30
490,1,490,"Lic. Pedro Flores Zárate","Medicina Interna","Enfermera","III Nivel","COLMED-CB-3868",5
491,1,491,"Dr. Carlos Zárate Pérez","Traumatología","Médico Residente","III Nivel","COLMED-PO-8262",19
492,1,492,"Dr. Juan Mamani Pinto","Anestesiología","Cirujano","III Nivel","COLMED-SC-2599",10
493,1,493,"Dra. Fernando Pinto Aguilar","Ginecología y Obstetricia","Médico Especialista","I Nivel","COLMED-CH-5171",5
